"score_unit_mode","score_unit","kappa","lambda","shift_prob","shift_type","policy","n_rep","mean_objective","se_objective","q025_objective","median_objective","q975_objective","mean_regret","mean_retrains","se_retrains"
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"variance","cusum_tuned",100,2.14624310838533,0.0461322672005524,1.36446393252586,2.16971298968067,3.00068533844033,1.40712919877904,49.59,0.591709558837951
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"variance","debt_threshold_tuned",100,2.04159429665624,0.0442963464970684,1.32040682371606,2.02297827571642,2.89293543385568,1.543635116984,33.41,0.494636893656
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"variance","debt_utility_tuned",100,2.18476235087369,0.0436326509598306,1.50573576548719,2.15616791413558,2.9551410061207,1.27290534361994,61.18,0.325787313653208
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"variance","hybrid_utility_tuned",100,2.24973050608289,0.0442307329109881,1.56961313273535,2.23343974246851,3.05831821652234,1.31924288001471,62.43,0.779439710706519
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"variance","never_retrain",100,135.628721945368,5.32586994466935,62.3293144275523,128.298774130622,235.420086980599,135.628721945368,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","alarm_tuned",100,10.1840266656249,1.3213507856913,0.336211601971702,5.35979586503447,43.4266387884061,9.93258783410531,16.87,0.136074103400175
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","always_retrain",100,4.61556709494153,0.20816275880223,3.01823527329663,3.87467567976532,10.6920304609116,1.64957257968335,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","calendar_tuned",100,4.19588716535323,0.410091132986742,1.05624855647668,2.66939428078267,14.9446694943179,3.21219049195102,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","calendar10",100,9.40458547284837,1.14385588699062,0.412007219735413,5.08295961037295,44.0792729836847,9.12140006686895,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","cusum_tuned",100,2.90761150603033,0.24744156890938,0.391581554253487,2.27026655617144,9.55061027874484,2.06938270433123,56.24,2.26283633584674
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","debt_threshold_tuned",100,2.90074455164051,0.245867444409672,0.410031913109084,2.23148343820958,9.62432294177971,2.37685155057857,35.15,1.91903674279624
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","debt_utility_tuned",100,3.00093851755379,0.246596279482486,0.744470867021502,2.22933451842003,9.7510804787059,2.07209038594128,62.32,1.18567885341451
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","hybrid_utility_tuned",100,3.13061838042297,0.246733059061523,0.535425956749431,2.46621882658616,9.8828596465834,2.54516981479814,39.28,1.82220202009003
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef","never_retrain",100,251.400381704941,33.9859507451935,1.16837655147119,130.939711712196,1150.38768915258,251.400381704941,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","alarm_tuned",100,6.81488413799192,0.534707735479514,1.21053117959833,5.16517020292881,20.2322681445229,6.57059946409704,16.39,0.117116017760858
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","always_retrain",100,4.09059247576165,0.0838742051499334,3.16989993706217,3.82606022345348,6.27013877648609,1.12459796050348,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","calendar_tuned",100,3.20886166125352,0.169051980913435,1.35561144909517,2.69329636699252,7.49750549345709,2.22516498785132,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","calendar10",100,6.39398884435988,0.493774317960823,1.20450084173093,4.8016382615726,18.9458406690425,6.11080343838045,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","cusum_tuned",100,2.47350395498401,0.122899721586682,0.925750386079582,2.18030442484547,5.41297882482892,1.58266228575295,59.77,1.87238598930063
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","debt_threshold_tuned",100,2.48946041589148,0.122003734998693,0.954215714669263,2.15999130659289,5.45985361932456,1.93799409898418,37,1.69628232832089
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","debt_utility_tuned",100,2.5571195174248,0.121404901223245,1.09394071720884,2.24966817156618,5.56576573950838,1.60382801392775,63.96,0.959789539219906
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","hybrid_utility_tuned",100,2.69834501643748,0.131050332952865,0.960352858518321,2.43136785996294,5.57551457186124,1.94089857791778,50.82,1.88515626445506
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual","never_retrain",100,120.17340542768,15.9675438080312,4.16489614920632,50.855241795373,479.984687930685,120.17340542768,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"none","alarm_tuned",100,0.3290685510669,0.00480443856150904,0.247743253501292,0.325320399559297,0.430068428214541,0.1375457896545,12.85,0.188226706206354
