"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","frac_deployed_better","mean_sqrt_debt","axis","severity","rep","regret_mode"
"mean",72,0.0694444444444444,1.3071942713157,0.652777777777778,0.955708984385603,0.2031640625,1.52940957973399,"nonlinear",0.8,3,"signed"
"median",72,0.5,1.01744173835379,0.694444444444444,0.857316099178969,0.2443359375,1.24124714496584,"tail",Inf,4,"signed"
"q75",72,0.847222222222222,0.949820096761948,1,0.653236231334525,0.2443359375,1.24124714496584,"tail",Inf,4,"signed"
"mean",72,0.916666666666667,0.94749759992255,1,0.632052044540593,0.2443359375,1.24124714496584,"tail",Inf,4,"signed"
"median",72,0.458333333333333,1.03067029185752,0.694444444444444,0.867199795776654,0.2381640625,1.25043119129746,"tail",Inf,5,"signed"
"q75",72,0.861111111111111,0.960997851903448,1,0.660301686835569,0.2381640625,1.25043119129746,"tail",Inf,5,"signed"
"mean",72,0.902777777777778,0.950657277307661,1,0.631586720114037,0.2381640625,1.25043119129746,"tail",Inf,5,"signed"
"median",72,0.458333333333333,1.02578689078999,0.694444444444444,0.854892593708805,0.2358203125,1.26077169195653,"tail",Inf,6,"signed"
"q75",72,0.833333333333333,0.959906776749146,1,0.652797571726162,0.2358203125,1.26077169195653,"tail",Inf,6,"signed"
"mean",72,0.875,0.961418404045033,1,0.641867787886437,0.2358203125,1.26077169195653,"tail",Inf,6,"signed"
"median",72,0.472222222222222,1.01302462791496,0.680555555555556,0.866361404291201,0.2465625,1.27332250780229,"tail",Inf,7,"signed"
"q75",72,0.861111111111111,0.954995827027966,1,0.649993578183932,0.2465625,1.27332250780229,"tail",Inf,7,"signed"
"mean",72,1,0.948284500448873,1,0.608731267355464,0.2465625,1.27332250780229,"tail",Inf,7,"signed"
"median",72,0.430555555555556,1.03492017744585,0.666666666666667,0.876773366111725,0.2495703125,1.24517284862939,"tail",Inf,8,"signed"
"q75",72,0.819444444444444,0.952400389784764,1,0.664787680404064,0.2495703125,1.24517284862939,"tail",Inf,8,"signed"
"mean",72,0.944444444444444,0.943731220104964,1,0.629857458640149,0.2495703125,1.24517284862939,"tail",Inf,8,"signed"
"median",72,0.430555555555556,1.0303221706799,0.680555555555556,0.867033908891476,0.256328125,1.18618447603625,"tail",8,4,"signed"
"q75",72,0.847222222222222,0.946901463314181,1,0.64897482595466,0.256328125,1.18618447603625,"tail",8,4,"signed"
"mean",72,0.861111111111111,0.943045805980677,1,0.63343678594229,0.256328125,1.18618447603625,"tail",8,4,"signed"
"median",72,0.472222222222222,1.04213707045525,0.708333333333333,0.876432612704468,0.25484375,1.30427183728712,"tail",8,5,"signed"
"q75",72,0.847222222222222,0.957466772435693,1,0.665335244317951,0.25484375,1.30427183728712,"tail",8,5,"signed"
"mean",72,0.972222222222222,0.941479757295059,1,0.629108587813878,0.25484375,1.30427183728712,"tail",8,5,"signed"
"median",72,0.555555555555556,0.998391962188248,0.736111111111111,0.844186755583562,0.249609375,1.26733005204652,"tail",8,6,"signed"
"q75",72,0.902777777777778,0.933098768499694,1,0.632655043319144,0.249609375,1.26733005204652,"tail",8,6,"signed"
"mean",72,0.958333333333333,0.926781471684689,1,0.611749996560794,0.249609375,1.26733005204652,"tail",8,6,"signed"
"median",72,0.458333333333333,1.02328537428809,0.680555555555556,0.876509097639893,0.2607421875,1.36755729874347,"tail",8,7,"signed"
"q75",72,0.805555555555556,0.962935203893033,1,0.646150777055396,0.2607421875,1.36755729874347,"tail",8,7,"signed"
"mean",72,0.875,0.961970486184404,1,0.614457537836562,0.2607421875,1.36755729874347,"tail",8,7,"signed"
"median",72,0.513888888888889,1.00354428468781,0.680555555555556,0.867605842958984,0.260390625,1.10924478082727,"tail",8,8,"signed"
"q75",72,0.888888888888889,0.931846193931595,1,0.654179929084619,0.260390625,1.10924478082727,"tail",8,8,"signed"
"mean",72,0.902777777777778,0.930828020700019,1,0.632848137023319,0.260390625,1.10924478082727,"tail",8,8,"signed"
"median",72,0.527777777777778,1.01706529283292,0.736111111111111,0.83635951932648,0.267734375,1.3613982009176,"tail",6,1,"signed"
"q75",72,0.875,0.934461258695801,1,0.632509501205002,0.267734375,1.3613982009176,"tail",6,1,"signed"
"mean",72,1,0.924329987814421,1,0.610393916169503,0.267734375,1.3613982009176,"tail",6,1,"signed"
"median",72,0.555555555555556,0.99751253632444,0.75,0.815520555997839,0.2780859375,1.28387594223994,"tail",6,2,"signed"
"q75",72,0.875,0.933127643094961,1,0.625037328343885,0.2780859375,1.28387594223994,"tail",6,2,"signed"
"mean",72,0.986111111111111,0.92420696023412,1,0.585744279587765,0.2780859375,1.28387594223994,"tail",6,2,"signed"
"median",72,0.583333333333333,0.980168134052499,0.708333333333333,0.860690268637557,0.2733203125,1.18903296319163,"tail",6,3,"signed"
"q75",72,0.888888888888889,0.922941839816802,1,0.64321942326394,0.2733203125,1.18903296319163,"tail",6,3,"signed"
"mean",72,1,0.915498426765134,1,0.605283484749575,0.2733203125,1.18903296319163,"tail",6,3,"signed"
"median",72,0.583333333333333,0.996922750138139,0.722222222222222,0.844528672812678,0.26234375,1.28745920398379,"tail",6,4,"signed"
"q75",72,0.888888888888889,0.92454867078137,1,0.633440034962802,0.26234375,1.28745920398379,"tail",6,4,"signed"
"mean",72,0.972222222222222,0.916663761062737,1,0.615093278232612,0.26234375,1.28745920398379,"tail",6,4,"signed"
